source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,lum_val
65213756926363520,56.757687649433194,0.9225085086316392,24.0736553863285,0.514807781501427,-0.6853575565426938,1.056879991116405,20.07332,-0.015825272,,,"NOT_AVAILABLE",,,
65225641100879488,56.689372952032706,0.4961057356282293,24.093122174088048,0.31875139806797687,1.0592553648614702,0.5467771202192776,19.311838,1.6064606,,,"NOT_AVAILABLE",,,
65213993149565440,56.77017767820024,0.25020910511195765,24.088064613769134,0.12668837565671995,0.19205482772527402,0.26423400067070063,18.18534,0.99349594,,,"NOT_AVAILABLE",,,
65213378969242368,56.751334461209396,1.250561435255005,24.060259404099757,0.7361782972237483,-1.201018366683324,1.4759324367343647,20.493887,0.57422066,,,"NOT_AVAILABLE",,,
65213649552182784,56.73585982045645,0.6289181956794445,24.08917974248569,0.3688457000888014,2.1672880925961557,0.6975763672817075,19.62814,0.9064007,,,"NOT_AVAILABLE",,,
65213241530300288,56.72457905456353,0.8378126830031578,24.041952085646113,0.5018275557429862,0.08198420663162308,0.8952402424505531,20.100512,0.7482796,,,"NOT_AVAILABLE",,,
65213409033938304,56.713477960880155,0.2200024513982125,24.041600919936137,0.16279385642747624,0.33204466702270413,0.2322502007151596,18.004118,1.339056,,,"NOT_AVAILABLE",,,
65212863573613312,56.800143486182975,3.2466427104171354,24.04875190973539,2.0043732618291377,,,20.855808,,,,"NOT_AVAILABLE",,,
65213310250211968,56.764919075234594,2.926144981649071,24.059664199013376,2.7304407496829657,,,20.854795,,,,"NOT_AVAILABLE",,,
65225434942451328,56.69430971488793,0.30649236266350244,24.095098073237406,0.18436835745107188,0.27492073351950413,0.33310655093725183,18.559175,1.6105309,,,"NOT_AVAILABLE",,,
65225434942451200,56.69598834794509,0.16624730878518404,24.09410706188943,0.10734557678097509,0.5405898478693234,0.17444383340471578,17.861977,1.3267727,,,"NOT_AVAILABLE",,,
65213653847596672,56.73700742335189,5.563975119608643,24.079388463073986,2.328259962028976,,,20.96264,,,,"NOT_AVAILABLE",,,
65213786991141120,56.777834440450874,0.26255616784955793,24.090470352647927,0.13631565833353373,0.6037172013650054,0.29274368723862776,18.169321,1.123785,,,"NOT_AVAILABLE",,,
65225778539836544,56.73481757492251,0.2382631716116019,24.09574791640073,0.14225293590991084,0.7566357000914515,0.25981714302610354,18.150364,1.4966087,,,"NOT_AVAILABLE",,,
65225611036626176,56.67066869897717,11.08578759054859,24.09642717331373,5.434661969697529,,,21.188442,,,,"NOT_AVAILABLE",,,
65213310251214592,56.77470728100557,0.05143783804515965,24.048807366592655,0.0297764226261743,0.12347544574836435,0.056198222146771615,15.362011,1.4909582,,,"NOT_AVAILABLE",4453.3335,,
65225984700165248,56.74262078326659,1.5887814983863826,24.128139340982166,0.8402069144477262,0.0756987282754296,1.6718322970088715,20.50768,0.7515583,,,"NOT_AVAILABLE",,,
65225714115764224,56.68051342113424,7.632877884455444,24.10557979845509,2.8685243401111817,,,21.01859,,,,"NOT_AVAILABLE",,,
65213069731082752,56.81283337118537,1.2406329113589871,24.07069053340511,0.7647029677503553,1.332651611546299,1.4673656766776597,20.339468,0.32899475,,,"NOT_AVAILABLE",,,
65225920273226240,56.76093660193176,1.139948643886337,24.127674258888526,0.7200112911928944,-0.2149493196757143,1.3821793997457132,20.267754,0.52015686,,,"NOT_AVAILABLE",,,
65213310251214336,56.762333151848466,0.09627382304097958,24.056596797914025,0.05716754745845635,1.971846306374214,0.104810426392599,16.753849,1.8079672,,,"NOT_AVAILABLE",3996.0,,0.06359269
65225812899613312,56.74709494788445,3.7528824842369826,24.11995190424078,2.255096423236962,,,20.409248,,,,"NOT_AVAILABLE",,,
65214100524196224,56.77873441817132,8.459788962939403,24.10957567414747,2.547644745140877,,,21.114298,,,,"NOT_AVAILABLE",,,
65214134882966272,56.79261581030486,0.6821247037611117,24.10662911265439,0.40378379659206887,1.0038486065378482,0.7764885821961041,19.700935,0.38874054,,,"NOT_AVAILABLE",,,
65225439237834112,56.7085775819849,3.7178075497924064,24.09393611600283,2.1094597195149944,,,21.084719,,,,"NOT_AVAILABLE",,,
65225847259355776,56.72293134836201,0.6245434395150565,24.122013128594432,0.3747725283853396,0.15273311172268614,0.6821849288309784,19.664898,0.6080303,,,"NOT_AVAILABLE",,,
