g_abs,bp_rp,dist,ra,dec,radius_val,teff_val
25.971617360792013,,0.539991167985606,272.2378287453136,-27.6459156411923,,
26.21723186509165,0.8425865,0.5412915169971741,274.9068719056276,-25.255882032689016,,
25.48445145419001,,0.5930262632336232,276.22319346395074,-27.140478978057512,,
25.850208028796825,,0.6118889957642715,273.11242146179956,-31.184669714567487,,
26.70230282042891,,0.6605067580460595,259.2971765688338,-30.486546962688415,,
25.986150060539273,,0.691196695097866,268.1770640256022,-33.250234674587844,,
25.710180495845574,,0.7180359647451946,274.40278620722194,-24.163574848141437,,
25.318014922234433,,0.7258245899469189,275.5028687648527,-30.564938591528005,,
24.899616817995778,,0.7303133736221362,270.6406216584042,-28.620187651072303,,
25.581747743832125,,0.7525372984084552,272.70539288992836,-26.58108328518761,,
24.719027014399934,,0.8067251620926833,272.60294687293566,-27.663319513217314,,
24.955492017211213,,0.8332080927465173,272.6291244816632,-28.033238936484832,,
25.15135569151463,,0.839222936653768,270.85406530053336,-32.3959807001307,,
25.52535906283981,1.4886551,0.8580698137302415,278.23433860084907,-13.443229700244071,,
25.616709357559202,,0.8743777512117815,244.47590384682852,-52.05830751891581,,
24.679335178277118,,0.8841637680962708,272.6363017245412,-27.83555269783408,,
24.977696917781785,,0.9179241427550755,268.8901205253966,-34.36987324063556,,
25.68825414526814,,0.9512699125606138,265.8559599075655,-21.840103965343562,,
24.875952293549066,1.2265911,0.9581724537986411,272.3386060845052,-34.21985716592711,,
25.616922994384673,1.0353088,0.969918024274183,266.2718555423678,-18.634858680636626,,
24.412648010676346,,0.9798243403329217,272.2790503889468,-27.459410773732507,,
24.676610328286564,0.8967285,1.0163872793208106,272.70400895030014,-32.762598237390016,,
24.22369035569177,,1.0206138962354874,269.7855579275503,-29.69296519194912,,
24.495300410970597,,1.0319015910201197,272.4111063060489,-27.52143507093798,,
24.69143744194769,,1.0323029344508838,272.76923015770706,-31.83346849159464,,
24.559225843173827,0.8374996,1.0519802812730306,271.68553790903917,-35.529154022655725,,
24.391862046549367,,1.0607373123833932,272.68773414485264,-29.0578964709224,,
24.296902172555,,1.0791270238515676,254.99122848968975,-33.785593313615934,,
25.166328912136258,,1.0934708257184327,264.0167556395449,-21.587629168117214,,
24.185598689587096,,1.0938080855221908,268.14507337537384,-35.08236470379969,,
24.251788676138887,1.8953896,1.0942139726334894,272.49119839615383,-28.15356439972376,,
25.31881415694836,,1.1003412411868418,275.21590511629864,-31.51494378557656,,
24.4494768127137,,1.118282285353415,272.67516792467234,-25.590825277968598,,
24.38380301334293,,1.1247909413716235,269.81518304949924,-28.33931526932809,,
24.812133799524176,,1.1337461793602137,266.40550925688234,-23.293583043963764,,
24.46107237508407,1.5880413,1.1401899026341409,273.2918178778338,-26.364984705250702,,
24.940025884672576,,1.150044408181844,277.87201986341154,-13.772372935808603,,
24.372567619977882,2.5175152,1.1629754631474343,271.8877283939753,-33.07282963068459,,
23.969159347555944,,1.1664252495504073,271.1515570320429,-28.101209414272365,,
24.290390866212924,,1.1705565313867023,272.2730436354566,-27.320778153817926,,
24.533618273509678,,1.18134193026297,274.74720056542543,-25.330433450329195,,
23.998721509307842,,1.1851051996172892,270.5839124286426,-28.63224881094433,,
25.310265554419917,1.9304409,1.1861363988340856,291.1598065750101,-35.18900511994787,,
24.69214111398654,,1.1863460678354691,270.89765920821395,-29.653025593412107,,
25.00957585601587,,1.1890028956761853,270.68628726314483,-27.449935707207917,,
24.37266770133056,,1.2058153866037962,272.3414607263992,-27.613886309499613,,
24.51141211731205,,1.234054794313686,271.23605606827743,-32.28936099477556,,
23.48840209825244,,1.2390084836507997,271.03152151094685,-27.404655697449712,,
24.1310338277463,,1.2484405028434071,272.638703095979,-25.555224516064246,,
24.117424976529353,,1.2560850547163414,272.8919790970984,-27.896968697963274,,
24.295005451925547,,1.2561718741123808,275.00833732252715,-26.39365119735684,,
23.84871695328361,,1.266453862935248,271.4975567606694,-26.793446054758597,,
25.07228186310474,,1.268642306589793,277.3957776743994,-22.488919303881282,,
24.45592650549774,,1.2733397803235196,273.25132195229696,-32.71367458836277,,
24.995993035259886,,1.278556415496602,273.6124724453294,-33.05249140200682,,
23.727911357658122,,1.2810261264879357,268.0964493051365,-18.092747953411283,,
24.19826137325827,,1.2826284496418114,271.16237203959065,-29.51175059237393,,
23.95761910167231,,1.2935270389697184,273.6251355855602,-26.90906599365773,,
23.62646266025258,,1.2947300837646187,272.79153056472614,-27.69846457648431,,
24.378930583866047,,1.3003741103662136,273.7515204944334,-31.508122017088088,,
13.381832719039723,3.796496,1.3012355557777502,217.39346574260355,-62.67618210292382,,3295.5
23.706520511285934,,1.302233271371833,271.47445270436447,-27.80115581563037,,
24.48157438628019,,1.3048307168314361,269.57158554093536,-31.172706363231033,,
23.851958811040248,,1.3134110241394323,270.2049643073152,-30.058152582233152,,
24.06012211550528,,1.34651298852447,269.3779478174653,-32.378160290404445,,
24.24057445776517,,1.3482420718847477,275.6237280215464,-24.89479312430125,,
24.51296724101536,1.5783978,1.3526662530837752,297.3675812929499,20.039359555970933,,
23.76294614008787,,1.3612324768757758,271.11429304090257,-27.451041950388944,,
23.809899978435144,,1.3933315587194968,270.48596811562936,-29.951087691840286,,
23.66476202350705,,1.405468574961203,279.0131287360167,-29.97029327510047,,
23.820891965542135,,1.4131620072965867,271.4556559187365,-29.599494678654718,,
23.817975251610548,,1.4297403815934262,273.48841366291924,-27.253369074737066,,
23.715359989130157,,1.44895320621916,271.99133073024734,-28.97517217122871,,
