g_abs,bp_rp,dist,ra,dec,radius_val,teff_val
13.94850878536499,1.2168293,216.44932027875933,187.66830768067058,12.405563753442895,,
9.284861670534752,1.927391,792.2200729097755,187.72664867743242,12.423363686279252,,
6.49984151852324,1.1782761,5801.260576079879,187.67717560558245,12.428928624610512,,
8.928366047132727,,1981.532494278207,187.68923788689622,12.383829192495476,,
8.192636854697653,1.0504627,3177.0859537662795,187.66145734630825,12.356667765518191,,
8.979003876953993,1.3356953,2243.4081086955125,187.65900318370427,12.395070926277008,,
7.8694492482465215,2.1129284,1779.7173143880054,187.6614516635412,12.390928682890726,,
7.730817920767301,1.1166306,1486.3093068087585,187.68070960304476,12.421416448074382,,
12.623618097764536,0.86776924,451.7024969479695,187.66313622491626,12.359001367435464,,
10.122184013946864,2.3112679,461.2232634896878,187.68197549724925,12.44961546952092,,
11.154566331761368,1.8055458,534.4396665195246,187.77721147626454,12.354660420239005,,
10.289224138795747,1.3314552,524.7048828443637,187.7390932391087,12.429030858677093,,
8.403517187169893,1.0262432,2462.661044488507,187.77508468889272,12.366767179797375,,
9.96849967763186,1.4689445,849.4889430995995,187.66706070153964,12.404834090937499,,
7.807834812970498,,2223.8611041090403,187.7090594157176,12.381000458970965,,
11.137388123949773,1.889698,636.4311007915056,187.6586861747221,12.40530632978862,,
9.473967495080464,1.2905407,1487.996473625585,187.67402074348607,12.403665124210221,,
10.104804427589164,2.4474373,452.166461217808,187.64876306497547,12.449149232832127,,
9.287829135542928,1.2005901,1525.4511318245065,187.6830613447916,12.424004139714947,,
9.43890135237492,1.9364452,831.6647726458615,187.71748948281768,12.330237434722672,,
8.106439708415376,1.7598896,1656.2668200050355,187.65667614103035,12.372601429301593,,
13.85525581288062,2.5904503,136.37913771672658,187.67483076323686,12.440789286882186,,
7.329734220077556,1.4986076,366.4297357453575,187.73886269287226,12.373645439876242,0.5686007,4449.3477
5.977840959024173,0.98597145,1563.1440168862596,187.75729521020952,12.36531434475115,,5234.1074
8.36773994854935,1.2292671,1934.6233924444218,187.66560315416206,12.318569243603335,,
9.778584546235155,1.2433453,1167.0955804877856,187.7473433540864,12.35641253317724,,
10.511260114236116,1.5498428,630.342168663016,187.72216983536086,12.42986680652886,,
5.6849864945422475,,8884.401133580259,187.7334148783272,12.397547506747125,,
7.6119665959771545,1.7403212,715.5209709082832,187.69742048939585,12.363296716092348,0.6104537,4167.0
6.292156933824108,1.155694,447.6732667577582,187.76618739958795,12.424493712353195,0.7004465,4904.0
10.28303804736383,2.4782982,763.3086352728934,187.78733718433222,12.383024355778971,,
5.036531657243469,0.9620199,800.6429941603667,187.73704518981035,12.423916248279776,0.99550426,5377.0
10.240704437517131,1.9518375,872.3324929024513,187.7791624061694,12.429285069468904,,
10.665633143591672,1.0821743,790.7830957779979,187.6313808944198,12.379232401619234,,
8.530107526110626,1.406332,1571.7506962462116,187.65756539512137,12.41748497455432,,
11.496063648672564,1.1954708,655.6914444482057,187.72106426062874,12.311543141703988,,
9.765896804752067,2.504528,456.3236265573195,187.6243979562717,12.414797191008763,,
11.361057880422852,0.8005848,827.0603254109544,187.7802103165948,12.424571606708062,,
9.526871447024845,1.6247044,1007.1221124924537,187.72742052032518,12.359230477180354,,
2.9034530846407947,0.66002846,38485.299614459225,187.69500142070896,12.343991270338904,,
9.551537076236439,1.9917145,608.6895945173869,187.6914820134299,12.413148806034828,,
10.245907709205149,1.6077843,792.5744103966493,187.7430143252448,12.438728385800555,,
8.102887259752329,1.0515652,2876.666782927302,187.74406406013284,12.440204803639748,,
10.749564094219798,1.0744362,682.7581117876225,187.71436503982903,12.446611803560394,,
9.685057191438354,2.2140427,889.8638272583408,187.72459858660866,12.459593131316048,,
11.237163433022399,0.9004097,674.8707463839111,187.66027725135507,12.33058314871627,,
8.108328206636063,1.9529591,1742.16611271109,187.70862333282375,12.45086626463171,,
12.059063042385414,1.909975,453.8789712285453,187.67416109365732,12.46311575789502,,
10.937064682536498,1.2585773,749.084620489908,187.73885212700716,12.35493095143465,,
5.262188868484905,0.90283394,1172.5647088039857,187.65867904276627,12.376330124726568,0.89779216,5375.6
12.57253172458646,1.0226593,381.0256085100092,187.7535128841419,12.413040768096689,,
10.822437294332893,,647.8120906009617,187.69020295223316,12.388144947328701,,
8.704456085131014,2.1608448,754.0939098060985,187.62529440078313,12.374815286543326,,
9.126420804457656,1.2579308,1470.1868938816986,187.62778408624328,12.382211218576515,,
10.752286759355895,1.6505737,787.8680811363338,187.66848304497117,12.394092878276915,,
8.557300302733722,1.7089348,2459.654756642232,187.67692426908718,12.456395095297438,,
9.775923172066868,1.039154,1360.930364306571,187.77958609268958,12.404058486469737,,
12.97116196136644,1.1875458,288.829818869096,187.65793897248616,12.391009811123634,,
